a,i,latitude_bicing,longitude_bicing
0,1,41.397952,2.180042
1,2,41.39553,2.17706
2,3,41.394055,2.181299
3,4,41.39348,2.181555
4,5,41.391075,2.180223
5,6,41.391349,2.18061
6,7,41.388856,2.183251
7,8,41.389088,2.183568
8,9,41.384532,2.184921
10,11,41.381689,2.193914
11,12,41.384538,2.195679
12,13,41.386861,2.195761
13,14,41.384675,2.185039
14,15,41.394812,2.171189
15,16,41.39827,2.186708
16,17,41.398237,2.186711
17,18,41.406086,2.174167
18,19,41.403282,2.170726
19,20,41.410166,2.175759
20,21,41.410897,2.17402
21,22,41.401684,2.17568
22,23,41.392526,2.171812
23,24,41.400659,2.179111
24,25,41.395179,2.168294
25,26,41.407035,2.181981
26,27,41.396897,2.164373
27,28,41.405422,2.17064
28,29,41.401132,2.170028
29,30,41.402046,2.182286
30,31,41.37481,2.18895
31,32,41.373698,2.188927
32,33,41.376862,2.190773
33,34,41.387074,2.175247
34,35,41.413592,2.221153
35,36,41.385151,2.176804
36,37,41.381226,2.181888
37,38,41.381129,2.186397
38,39,41.381046,2.186576
39,40,41.382335,2.187093
40,41,41.379326,2.189906
41,42,41.404511,2.189881
42,43,41.40541,2.18712
43,44,41.402285,2.187111
44,45,41.391429,2.189312
45,46,41.388359,2.193004
46,47,41.389831,2.191147
47,48,41.396085,2.187073
48,49,41.39106,2.196457
49,50,41.375,2.17035
50,51,41.384054,2.169019
52,53,41.385227,2.173878
53,54,41.377635,2.170586
54,55,41.381154,2.173497
55,56,41.377011,2.175834
56,57,41.376758,2.177093
57,58,41.382822,2.167154
58,59,41.382781,2.167203
59,60,41.390349,2.16424
60,61,41.390143,2.164946
61,62,41.387142,2.168858
62,63,41.386439,2.169417
63,64,41.387469,2.169048
64,65,41.387678,2.169587
65,66,41.389097,2.167933
66,67,41.385012,2.145843
67,68,41.395364,2.157356
68,69,41.386814,2.195689
69,70,41.380347,2.160695
70,71,41.381931,2.162969
71,72,41.392716,2.158811
72,73,41.392278,2.156183
73,74,41.390062,2.143272
74,75,41.385081,2.142868
75,76,41.391751,2.153123
77,78,41.385598,2.16338
78,79,41.38547,2.16333
79,80,41.389687,2.159999
80,81,41.378915,2.149174
81,82,41.379016,2.153799
82,83,41.384075,2.153654
83,84,41.383047,2.157033
84,85,41.375076,2.159046
85,86,41.37544,2.163
86,87,41.383156,2.148506
87,88,41.393547,2.150764
88,89,41.38824,2.150252
89,90,41.38834,2.150825
90,91,41.380452,2.158403
91,92,41.39386,2.160237
92,93,41.375454,2.149786
93,94,41.375619,2.149889
94,95,41.376428,2.147734
95,96,41.374152,2.148154
96,97,41.378124,2.145389
97,98,41.380499,2.141153
98,99,41.380632,2.141548
99,100,41.379135,2.14409
100,101,41.39243,2.14321
101,102,41.39218,2.14213
102,103,41.409856,2.188217
103,104,41.410821,2.187365
104,105,41.389197,2.173555
105,106,41.405587,2.162317
106,107,41.398373,2.153154
107,108,41.402314,2.164961
108,109,41.390981,2.14737
109,110,41.385377,2.154878
110,111,41.381231,2.152755
111,112,41.377644,2.15725
112,113,41.377464,2.164725
113,114,41.376801,2.173039
114,115,41.38377,2.18424
115,116,41.383718,2.191414
116,117,41.390666,2.197024
117,118,41.392212,2.187847
118,119,41.396684,2.182447
119,120,41.404666,2.176515
120,121,41.406293,2.178689
121,122,41.405435,2.16624
122,123,41.398013,2.166978
123,124,41.370297,2.187808
124,125,41.384426,2.195595
125,126,41.380778,2.182581
126,127,41.412322,2.19142
127,128,41.415581,2.19581
128,129,41.377068,2.161269
129,130,41.419905,2.201573
130,131,41.422808,2.206036
131,132,41.408439,2.192173
132,133,41.407307,2.192804
133,134,41.411433,2.198735
134,135,41.411908,2.197936
135,136,41.414226,2.201734
136,137,41.414758,2.201538
137,138,41.416966,2.205397
138,139,41.418035,2.206023
139,140,41.38063,2.15614
140,141,41.40902,2.194896
141,142,41.400503,2.192511
142,143,41.40325,2.19606
143,144,41.40562,2.19764
144,145,41.40982,2.202904
145,146,41.415191,2.207111
146,147,41.416018,2.212658
147,148,41.378486,2.163404
148,149,41.395905,2.192958
149,150,41.406549,2.203112
