gender,center,year,days,postal,same_route,r_fastest,r_cheapest,r_confortable,r_onlyoption,r_environmental,r_healthiest,r_needprivate,total_travels,private_ratio,public_ratio,active_ratio,Latitude,Longitude,Distance
Man,ESEIAAT,Third,5,8302.0,No,No,No,No,Yes,No,No,No,4,0.25,0.5,0.25,41.53492873728813,2.4362616559322032,31.688887640233293
Woman,ETSAB,First,3,8290.0,Yes,No,No,No,No,No,No,Yes,3,1.0,0.0,0.0,41.49042106822917,2.1386554125,11.601900107089728
Man,ETSEIB,First,5,8397.0,Yes,No,Yes,No,No,Yes,No,No,3,0.3333333333333333,0.6666666666666666,0.0,41.62479822469136,2.6869721716049386,54.80018620855703
Man,EPSEM,Second,4,8243.0,Yes,Yes,No,No,No,Yes,No,No,3,0.0,0.0,1.0,41.726803044117645,1.839067802941176,43.93821109235909
Woman,ETSAB,Fourth,2,8401.0,Yes,No,No,No,Yes,No,No,No,2,0.0,1.0,0.0,41.60634273333333,2.286286796296296,28.317134785998874
Man,ETSECCPB,Third,5,8002.0,Yes,No,Yes,No,No,No,No,No,1,0.0,1.0,0.0,41.3819834004138,2.176413193149425,5.505338253143316
Woman,EPSEM,Fourth,3,8241.0,Yes,Yes,No,No,No,No,No,No,1,0.0,0.0,1.0,41.727342611627904,1.821508341860465,44.762730347427926
Man,ESEIAAT,First,4,8024.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.41110394556075,2.1594220838785048,4.785385490636497
Man,ESEIAAT,First,5,8227.0,No,No,Yes,Yes,No,No,No,No,6,0.0,0.0,1.0,41.56793275,2.040539896875,20.83038244007645
Man,FIB,First,5,8197.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.46115768571429,2.056643457142857,9.309087679282344
Woman,ESEIAAT,Second,5,8014.0,Yes,Yes,No,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.37554342468619,2.136406735983264,2.532082851110252
Man,FIB,Third,2,8720.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.34392532727273,1.6935237736363635,35.27853992534681
Woman,FIB,First,5,8031.0,No,Yes,No,Yes,No,No,No,No,6,0.0,0.5,0.5,41.430806620215634,2.1651396603773585,6.556434297087386
