gender,center,year,days,postal,s1,s2,s3,same_route,r_fastest,r_cheapest,r_confortable,r_onlyoption,r_environmental,r_healthiest,r_needprivate,total_travels,Distance,active_ratio,private_ratio,public_ratio
Man,ESEIAAT,Third,5,8302.0,Bus,FGC,On foot,No,No,No,No,Yes,No,No,No,4,31.688887640233293,0.25,0.25,0.5
Woman,ETSAB,First,3,8290.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,No,No,No,No,No,No,Yes,3,11.601900107089728,0.0,1.0,0.0
Man,ETSEIB,First,5,8397.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,Underground,Yes,No,Yes,No,No,Yes,No,No,3,54.80018620855703,0.0,0.3333333333333333,0.6666666666666666
Man,EPSEM,Second,4,8243.0,On foot,On foot,On foot,Yes,Yes,No,No,No,Yes,No,No,3,43.93821109235909,1.0,0.0,0.0
Woman,ETSAB,Fourth,2,8401.0,Renfe,Underground,,Yes,No,No,No,Yes,No,No,No,2,28.317134785998874,0.0,0.0,1.0
Man,ETSECCPB,Third,5,8002.0,,,Underground,Yes,No,Yes,No,No,No,No,No,1,5.505338253143316,0.0,0.0,1.0
Woman,EPSEM,Fourth,3,8241.0,,On foot,,Yes,Yes,No,No,No,No,No,No,1,44.762730347427926,1.0,0.0,0.0
Man,ESEIAAT,First,4,8024.0,On foot,FGC,On foot,Yes,No,Yes,No,No,No,No,No,3,4.785385490636497,0.6666666666666666,0.0,0.3333333333333333
Man,ESEIAAT,First,5,8227.0,On foot,On foot,On foot,No,No,Yes,Yes,No,No,No,No,6,20.83038244007645,1.0,0.0,0.0
Man,FIB,First,5,8197.0,On foot,FGC,Bus,Yes,Yes,Yes,No,No,No,No,No,3,9.309087679282344,0.3333333333333333,0.0,0.6666666666666666
